"Gene_ID","Gene_Symbol","SRR27553658","SRR27553659","SRR27553660","SRR27553661","SRR27553662","SRR27553663","SRR27553664","SRR27553665","SRR27553666","SRR25482874","SRR25482875","SRR25482876","SRR25482877","SRR25482878","SRR25482879","SRR25482880","SRR25482881"
"ENSOMYG00000032725","",0.146121,0.263229,0.321676,0.137809,0.123891,0,0,0,0.248293,0,0,0.666711,0.295275,0.235062,0.34382,0.054403,0
"ENSOMYG00000032729","EXOG",4.40371,5.006478,3.515312,1.996466,3.540636,4.325677,2.086572,3.804476,1.916961,1.15371,2.466431,3.327444,3.920495,8.008834,2.358657,4.325677,4.222026
"ENSOMYG00000032732","slc31a1",14.157738,10.737103,14.545635,11.538195,37.305885,10.658731,18.424603,27.975695,21.167658,442.044678,428.799103,1179.514648,1390.877441,1552.473511,439.126007,621.465515,544.390259
"ENSOMYG00000032733","MIF4GD",0.617099,1.880368,1.664414,1.344595,1.245233,0.943694,2.972973,1.291517,0.997748,2.377628,3.932432,8.045045,9.034534,5.273273,6.435435,4.676426,3.183183
"ENSOMYG00000032735","rcc1l",13.015518,8.986964,15.314091,8.730602,11.676908,10.443824,14.640595,10.678771,11.141216,3.155183,5.468653,15.877716,28.900682,33.369957,6.123215,4.476723,4.024829
"ENSOMYG00000032736","afmid",6.005147,5.448587,4.465198,4.404706,9.834463,5.046328,9.868927,9.541418,11.177966,27.787567,12.941525,43.14529,59.341705,66.014404,35.078247,23.106215,24.10664
"ENSOMYG00000032738","znf281a",0.897523,1.02002,1.416695,0.696223,0.872752,0.524262,1.697659,1.219206,1.644723,1.329657,1.082796,2.063454,3.663387,3.395996,1.717679,1.081778,1.054293
"ENSOMYG00000032741","",0,0.087796,0,0.704388,0.471817,0.152385,0.096707,0,0,0.752643,0.499326,0.211815,0.110965,1.08263,0.235985,0.324441,0.441746
"ENSOMYG00000032742","wsb1",3.553191,3.801419,3.182033,2.380615,4.553979,2.093775,5.322301,3.368006,2.251773,19.520882,17.958893,48.769897,54.202656,51.86919,14.393223,26.037432,19.148935
"ENSOMYG00000032743","inka1a",3.128572,2.33913,5.096273,1.638509,2.71677,2.598758,2.428571,3.336025,2.542236,0.550311,0.31677,0.63354,0.518634,0.923602,1.773292,0.368944,0.543478
"ENSOMYG00000032751","",5.498371,3.795874,3.466884,4.693811,7.151466,4.855592,8.388708,3.963084,3.95874,16.294245,13.270357,31.504887,35.7481,34.85125,18.621063,18.135721,20.172638
"ENSOMYG00000032756","",17.888365,12.492798,17.291136,13.445706,14.503047,15.073961,18.170914,14.718559,15.256232,2.947091,4.160111,5.1759,6.0482,9.454017,4.383934,4.107756,3.504709
"ENSOMYG00000032763","MRPS7",45.202412,52.876263,67.136887,54.932518,49.061909,54.832611,59.631844,66.849342,55.347984,16.53194,20.468781,31.356388,26.884247,32.07877,18.912104,24.624399,20.840538
"ENSOMYG00000032765","adi1",42.589417,35.894386,47.427429,41.736656,43.14262,39.217422,51.556747,46.082287,48.19212,14.539272,25.128077,40.158436,41.443962,42.175549,26.18281,38.464695,30.683521
"ENSOMYG00000032771","cnot6l",0.452651,0.460256,15.81802,11.603482,0.663831,0.52866,29.349812,0.535834,14.232739,0,0,0,0,0,0,16.134092,0
"ENSOMYG00000032772","",3.429105,5.189054,9.73694,3.844527,10.166045,4.30908,5.602612,10.379975,9.830223,182.004349,151.137436,298.871887,349.555969,335.821503,149.699631,133.180969,115.081467
"ENSOMYG00000032776","",0.437919,0,0.202431,0.259544,0,0.305858,1.143584,0.760537,0.557411,0.364959,0.833564,1.402236,2.268541,1.928257,0.507869,1.389125,0.565007
"ENSOMYG00000032782","ifn5",0.520833,1.491071,1.565476,1.896825,1.402778,0.873016,1.962302,1.224206,0.592262,1.041667,2.353174,0.306548,0.921627,2.517857,1.122024,1.090278,0.295635
"ENSOMYG00000032783","tmem30aa",11.375547,12.485539,16.079317,10.294041,13.183172,12.346845,21.417616,17.602541,9.640666,23.105171,26.004381,26.959246,33.550175,29.519939,23.411919,19.229624,21.791849
"ENSOMYG00000032784","ino80b",9.342062,9.245938,14.306943,8.538918,11.504908,13.181047,15.438473,9.879932,13.798858,6.979564,6.425556,14.277528,16.572523,15.645761,8.663699,4.34717,5.529879
"ENSOMYG00000032788","",1.895085,3.056323,6.416046,1.403092,16.026764,2.4187,2.059083,2.312535,0.706608,0,0,0,0.767532,0,0,0,0
"ENSOMYG00000032795","pecam1a",0.607082,1.109156,0.963705,11.377703,0.22969,0.373594,0.42888,0.448699,0.502159,1.395523,0.460371,3.171985,1.54303,3.067939,0,0.301408,0.382504
"ENSOMYG00000032799","",0,0,0,0,0.076137,0,0,0.571806,0,8.316613,6.250026,8.664501,9.405872,10.770006,6.843315,5.757824,6.36467
"ENSOMYG00000032808","rnaset2",11.911136,3.431224,6.192497,8.9754,6.567036,4.68889,20.734015,9.360907,4.626691,22.482471,20.089176,34.363163,37.460949,33.90498,19.690037,20.602091,22.746309
